tile_id,cl_png,image_height,image_width,grid_rows,grid_cols,unknown_pixels_total,c0_tumor,c0_stroma,c0_immune_cells,c0_necrosis,c0_other,c0_ignore,c1_tumor,c1_stroma,c1_immune_cells,c1_necrosis,c1_other,c1_ignore,c2_tumor,c2_stroma,c2_immune_cells,c2_necrosis,c2_other,c2_ignore,c3_tumor,c3_stroma,c3_immune_cells,c3_necrosis,c3_other,c3_ignore,c4_tumor,c4_stroma,c4_immune_cells,c4_necrosis,c4_other,c4_ignore,c5_tumor,c5_stroma,c5_immune_cells,c5_necrosis,c5_other,c5_ignore,c6_tumor,c6_stroma,c6_immune_cells,c6_necrosis,c6_other,c6_ignore,c7_tumor,c7_stroma,c7_immune_cells,c7_necrosis,c7_other,c7_ignore,c8_tumor,c8_stroma,c8_immune_cells,c8_necrosis,c8_other,c8_ignore,contrast_lr_tumor,contrast_tb_tumor,contrast_strip_lr_tumor,contrast_strip_tb_tumor,contrast_lr_stroma,contrast_tb_stroma,contrast_strip_lr_stroma,contrast_strip_tb_stroma,contrast_lr_immune_cells,contrast_tb_immune_cells,contrast_strip_lr_immune_cells,contrast_strip_tb_immune_cells,contrast_lr_necrosis,contrast_tb_necrosis,contrast_strip_lr_necrosis,contrast_strip_tb_necrosis,contrast_lr_other,contrast_tb_other,contrast_strip_lr_other,contrast_strip_tb_other,contrast_lr_ignore,contrast_tb_ignore,contrast_strip_lr_ignore,contrast_strip_tb_ignore,cellspread_tumor_maxmin,cellspread_tumor_std,cellspread_tumor_iqr,cellspread_ignore_maxmin,cellspread_ignore_std,cellspread_ignore_iqr,cellspread_necrosis_maxmin,cellspread_necrosis_std,cellspread_necrosis_iqr
JN_TS_001_tile_10009_14592,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_10009_14592_cl.png,7921,7921,3,3,0,0.1017388372,0.2175591139,0.0200097567,0.3039431244,0.1711811295,0.1855680383,0.0773757071,0.1817499111,0.0133923961,0.4526201049,0.1703737967,0.1044880842,0.1473258150,0.1520005452,0.0174265381,0.5516834539,0.1042408460,0.0273228019,0.1007435200,0.1884758700,0.0293544112,0.2614476840,0.1625882069,0.2573903078,0.0713375612,0.1627118800,0.0203689497,0.3033012319,0.1649248209,0.2773555563,0.1278250605,0.1332327918,0.0263922355,0.5156751632,0.1127925889,0.0840821601,0.1133291724,0.1604581325,0.0240797176,0.3470194846,0.1550063131,0.2001071798,0.1250751552,0.1697589297,0.0230255987,0.3977228265,0.1541148899,0.1303026000,0.0988462753,0.1342536157,0.0201232495,0.4945005452,0.1437498565,0.1085264578,0.0193952070,0.0036034145,0.0193952070,0.0036034145,0.0490020546,0.0289462974,0.0490020546,0.0289462974,0.0031672875,0.0054666250,0.0031672875,0.0054666250,0.2164829564,0.0230012756,0.2164829564,0.0230012756,0.0426641194,0.0023584292,0.0426641194,0.0023584292,0.1410447021,0.0405191044,0.1410447021,0.0405191044,0.0759882538,0.0242623665,0.0262288799,0.2500327544,0.0829396783,0.0956190956,0.2902357699,0.1052305252,0.1905574208
JN_TS_001_tile_11121_12254,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_11121_12254_cl.png,7921,7921,3,3,0,0.0711474116,0.1118823175,0.0269630969,0.2170070018,0.1388339360,0.4341662362,0.0931565752,0.1398081535,0.0296769761,0.2634038702,0.1365945521,0.3373598729,0.0743649564,0.1293306646,0.0202898301,0.2732848370,0.1405624426,0.3621672693,0.0956856046,0.1124938327,0.0298423462,0.2308962399,0.1153573314,0.4157246452,0.0933902672,0.1545586226,0.0340894705,0.2627611855,0.1462561153,0.3089443390,0.0823977660,0.1323216068,0.0257927151,0.2611513660,0.1355763714,0.3627601746,0.0955377640,0.1630249943,0.0325251090,0.2936594640,0.1510824151,0.2641702537,0.0830966806,0.1812893704,0.0167710807,0.3813118883,0.1458356281,0.1916953519,0.0634895833,0.1430310204,0.0185135445,0.2578018825,0.1405899908,0.3765739784,0.0140394915,0.0011516949,0.0140394915,0.0011516949,0.0057607158,0.0354414165,0.0057607158,0.0354414165,0.0082448208,0.0030400563,0.0082448208,0.0030400563,0.0168917932,0.0596925086,0.0168917932,0.0596925086,0.0038183742,0.0071723678,0.0038183742,0.0071723678,0.0041865709,0.1004179315,0.0041865709,0.1004179315,0.0321960213,0.0118439229,0.0190253108,0.2424708844,0.0755478404,0.0676296394,0.1643048865,0.0469136555,0.0154829545
JN_TS_001_tile_12883_7423,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_12883_7423_cl.png,7921,7921,3,3,0,0.0143625172,0.0740705349,0.0105490989,0.1334920225,0.1877555383,0.5797702881,0.0110693264,0.0607546499,0.0091084071,0.1097882460,0.1948307861,0.6144485847,0.0138639233,0.0672034263,0.0099301251,0.1389556072,0.1709105257,0.5991363923,0.0178033172,0.0819924443,0.0105953037,0.1415806111,0.2465808693,0.5014474545,0.0123435798,0.0661026331,0.0086781409,0.1125726733,0.2054971260,0.5948058469,0.0158891547,0.0781315617,0.0119067904,0.1681628860,0.2124305819,0.5134790254,0.0142573462,0.0716181703,0.0100312787,0.1074542298,0.1886118285,0.6080271465,0.0159108120,0.0725359425,0.0121993793,0.1113550308,0.2006269147,0.5873719206,0.0166633666,0.0810177055,0.0114385331,0.1660894456,0.1941785755,0.5306123737,0.0000022453,0.0025119193,0.0000022453,0.0025119193,0.0004428187,0.0077144024,0.0004428187,0.0077144024,0.0006999224,0.0013605200,0.0006999224,0.0013605200,0.0302270251,0.0008876102,0.0302270251,0.0008876102,0.0151428510,0.0099734895,0.0151428510,0.0099734895,0.0153390325,0.0224479414,0.0153390325,0.0224479414,0.0067339908,0.0021244656,0.0020468887,0.1130011302,0.0429077631,0.0685240186,0.0607086562,0.0237473633,0.0302255803
JN_TS_001_tile_19702_7361,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_19702_7361_cl.png,7921,7921,3,3,0,0.0151749024,0.0787345041,0.0123681416,0.2326760503,0.1786146981,0.4824317034,0.0133041892,0.0726344762,0.0119882563,0.2104276388,0.1750982468,0.5165471929,0.0083100895,0.0382059229,0.0086439681,0.1129686065,0.1088567493,0.7230146637,0.0172872707,0.0803682891,0.0136181485,0.2261862759,0.1815158400,0.4810241759,0.0148590349,0.0832581947,0.0101841164,0.2404658947,0.1888234366,0.4624093228,0.0149330775,0.0744823758,0.0107735821,0.2354431288,0.1748052276,0.4895626083,0.0069870581,0.0298496327,0.0069662534,0.0958125287,0.1102147899,0.7501697371,0.0172420915,0.0869783599,0.0131140064,0.2432627104,0.2039368983,0.4354659335,0.0152779213,0.0786365071,0.0136814164,0.2109606003,0.1941015266,0.4873420282,0.0003093810,0.0009059632,0.0003093810,0.0009059632,0.0007907933,0.0019631989,0.0007907933,0.0019631989,0.0000488077,0.0002537701,0.0000488077,0.0002537701,0.0015658269,0.0020121520,0.0015658269,0.0020121520,0.0024727252,0.0152278402,0.0024727252,0.0152278402,0.0045687721,0.0163386204,0.0045687721,0.0163386204,0.0103002126,0.0036608519,0.0019737321,0.3147038037,0.1157359295,0.0355230170,0.1474501817,0.0560911057,0.0250154900
JN_TS_001_tile_6722_12156,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_6722_12156_cl.png,7921,7921,3,3,0,0.1326023014,0.1062099690,0.0138474231,0.6326452020,0.0703160870,0.0443790174,0.1362771505,0.1164990018,0.0142814935,0.6370533717,0.0684111562,0.0274778264,0.1250472050,0.1123189279,0.0103908402,0.6490227560,0.0686204373,0.0345998336,0.1683430289,0.1670910640,0.0275835313,0.3747208931,0.1311419286,0.1311195541,0.1651295556,0.1695532870,0.0210850909,0.4213600203,0.1256635059,0.0972085402,0.1504010189,0.1603760054,0.0291240692,0.4154865581,0.1334903847,0.1111219637,0.1589422635,0.1756861226,0.0343072773,0.3316229052,0.1549205119,0.1445209194,0.1461336672,0.1665076073,0.0174180751,0.4555878742,0.1256703728,0.0886824034,0.1090715393,0.1584033517,0.0292887684,0.3899764692,0.1350483528,0.1782115186,0.0251226102,0.0067402710,0.0251226102,0.0067402710,0.0059629569,0.0551897276,0.0059629569,0.0551897276,0.0023115180,0.0141647880,0.0023115180,0.0141647880,0.0384989277,0.2471780270,0.0384989277,0.2471780270,0.0064064509,0.0694305190,0.0064064509,0.0694305190,0.0013046083,0.1016527213,0.0013046083,0.1016527213,0.0592714897,0.0196047481,0.0263399621,0.1507336922,0.0521477671,0.0867405367,0.3173998508,0.1254580884,0.2426687328
JN_TS_001_tile_6847_16838,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_6847_16838_cl.png,7921,7921,3,3,0,0.1094183310,0.2179282886,0.0339712466,0.1786307679,0.2096481864,0.2504031795,0.1311145342,0.1733871754,0.0380118871,0.2236041789,0.1884384359,0.2454437885,0.0835804063,0.1341262052,0.0248217975,0.1992787247,0.1652945650,0.3928983012,0.0282072906,0.1622580405,0.0140449841,0.1296264902,0.3010745471,0.3647886476,0.0359114371,0.1505003455,0.0193779650,0.1393711233,0.2767013516,0.3781377775,0.0292798297,0.1271204089,0.0132537033,0.1594952268,0.2875817528,0.3832690785,0.0287657828,0.1534921660,0.0155214073,0.1727782082,0.2799756084,0.3494668274,0.0219659679,0.1115804964,0.0177217078,0.1389599325,0.2422331991,0.4675386963,0.0254551194,0.0987776917,0.0204912764,0.1338698060,0.2743765783,0.4470295282,0.0093586830,0.0826421338,0.0093586830,0.0826421338,0.0578847297,0.0538637717,0.0578847297,0.0538637717,0.0016569536,0.0143568466,0.0016569536,0.0143568466,0.0038694304,0.0519685749,0.0038694304,0.0519685749,0.0211484819,0.0777347328,0.0211484819,0.0777347328,0.0861794178,0.1250965942,0.0861794178,0.1250965942,0.1091485663,0.0417845061,0.0553731157,0.2220949078,0.0759861124,0.0434314738,0.0939776887,0.0324645819,0.0396708354
JN_TS_001_tile_8969_10184,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_8969_10184_cl.png,7921,7921,3,3,0,0.0202584079,0.0826090450,0.0137577479,0.1268708391,0.1448064451,0.6116975149,0.0275851089,0.0708258752,0.0199476782,0.0944607472,0.1304507590,0.6567298314,0.0533869949,0.0929878329,0.0368272211,0.0954486628,0.1372986972,0.5840505911,0.0248212913,0.0872015306,0.0150730612,0.1320298785,0.1799314137,0.5609428247,0.0476831074,0.0988759521,0.0239175407,0.1471940525,0.1574391018,0.5248902454,0.0767492226,0.1160585407,0.0320531135,0.1515297810,0.1539410577,0.4696682845,0.0872246614,0.1253813705,0.0170849116,0.3987855831,0.1537571740,0.2177662994,0.0592704784,0.1104612004,0.0186492433,0.2228560692,0.1450515186,0.4437114901,0.0366818756,0.0894150310,0.0195504764,0.1507828283,0.1332270145,0.5703427743,0.0115045775,0.0273155012,0.0115045775,0.0273155012,0.0010898195,0.0262782830,0.0010898195,0.0262782830,0.0141716967,0.0050826720,0.0141716967,0.0050826720,0.0866416762,0.1518814105,0.0866416762,0.1518814105,0.0180094212,0.0064932686,0.0180094212,0.0064932686,0.0778850037,0.2068857912,0.0778850037,0.2068857912,0.0669662534,0.0233790645,0.0316853694,0.4389635321,0.1298842997,0.1143823066,0.3043248359,0.0941553893,0.0246589419
JN_TS_002_tile_11175_10127,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_11175_10127_cl.png,7921,7921,3,3,0,0.1752440599,0.0832661846,0.0226529500,0.6599519341,0.0474585342,0.0114263372,0.1871331165,0.0943236320,0.0367127351,0.5957997717,0.0706768556,0.0153538891,0.3391272096,0.0972593836,0.1130584252,0.3452559688,0.0910059401,0.0142930728,0.1835137632,0.0819944523,0.0401226865,0.5989861221,0.0870380251,0.0083449508,0.2566382136,0.0846249563,0.1209399845,0.4521288607,0.0746606286,0.0110073563,0.1569849862,0.0992789979,0.0663825399,0.4998723509,0.0847307322,0.0927503930,0.2288155705,0.0852381772,0.0274248163,0.6006476699,0.0505105028,0.0073632633,0.2064411151,0.0770327757,0.0794695822,0.5619168302,0.0636799651,0.0114597317,0.2077658689,0.1111674989,0.0713248967,0.4039546028,0.0889666552,0.1168204775,0.0387682237,0.0194939438,0.0387682237,0.0194939438,0.0190690221,0.0004702495,0.0190690221,0.0004702495,0.0535218030,0.0019317284,0.0535218030,0.0019317284,0.2035009345,0.0114961906,0.2035009345,0.0114961906,0.0265654218,0.0019947356,0.0265654218,0.0019947356,0.0655764640,0.0315233911,0.0655764640,0.0315233911,0.1821422234,0.0549625451,0.0453018073,0.1094572142,0.0417254071,0.0043465329,0.3146959653,0.1052858213,0.1468572614
JN_TS_002_tile_14477_11069,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_14477_11069_cl.png,7921,7921,3,3,0,0.2408209940,0.1141141529,0.0165886134,0.5549133379,0.0508590163,0.0227038854,0.2291812961,0.0730287540,0.0449872638,0.6032639439,0.0455553739,0.0039833683,0.1410488407,0.0982605888,0.0345846247,0.5623335629,0.1064765553,0.0572958276,0.1874201118,0.0660741742,0.0267836449,0.6852908104,0.0329898282,0.0014414306,0.1096769966,0.0603108497,0.0257786477,0.6905475520,0.0972611576,0.0164247964,0.0453501314,0.0965146065,0.0130903411,0.5707502897,0.1412508749,0.1330437564,0.0957267275,0.0692239153,0.0077288510,0.7402780647,0.0769049874,0.0101374541,0.0256005244,0.0741734364,0.0053520820,0.6462534279,0.1642401868,0.0843803426,0.0314507289,0.1055254247,0.0126441977,0.5005707645,0.1742306589,0.1755782254,0.1020393775,0.1527577167,0.1020393775,0.1527577167,0.0169627926,0.0121602398,0.0169627926,0.0121602398,0.0030726847,0.0234784571,0.0030726847,0.0234784571,0.1156091987,0.0555304708,0.1156091987,0.0555304708,0.0870680857,0.0708282958,0.0870680857,0.0708282958,0.1105450131,0.0620376469,0.1105450131,0.0620376469,0.2152204697,0.0825005078,0.1420699804,0.1741367948,0.0627517682,0.0742428885,0.2397073003,0.0781445902,0.1229572475
JN_TS_002_tile_14559_5229,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_14559_5229_cl.png,7921,7921,3,3,0,0.2182667585,0.0845125976,0.0165164428,0.6155018939,0.0623459022,0.0028564050,0.2378090829,0.0872501520,0.0130691141,0.6321084759,0.0278563274,0.0019068477,0.2000583965,0.0892811639,0.0135946109,0.6618517562,0.0321441690,0.0030699036,0.2305194600,0.1014584983,0.0166993678,0.5981294390,0.0500747249,0.0031185100,0.1889845863,0.0860801783,0.0102622539,0.6838865065,0.0283183326,0.0024681425,0.1946867865,0.0814807006,0.0142522346,0.6758238385,0.0309256423,0.0028307976,0.1640548955,0.1119880624,0.0116008092,0.6544487489,0.0531859791,0.0047215048,0.1367226315,0.0867627907,0.0079432148,0.7351336156,0.0301423933,0.0032953541,0.1276434803,0.0830948691,0.0069694100,0.7456050562,0.0339294938,0.0027576905,0.0301508170,0.0759044102,0.0301508170,0.0759044102,0.0147008082,0.0069339363,0.0147008082,0.0069339363,0.0033334548,0.0055555779,0.0033334548,0.0055555779,0.0717335231,0.0752417649,0.0717335231,0.0752417649,0.0228691004,0.0016961775,0.0228691004,0.0016961775,0.0006793427,0.0009804644,0.0006793427,0.0009804644,0.1101656026,0.0391097858,0.0542118629,0.0028146571,0.0007628475,0.0003608194,0.1474756172,0.0499757386,0.0517780306
