labeled_tile_id,true_group,tile_id,cl_png,image_height,image_width,grid_rows,grid_cols,unknown_pixels_total,c0_tumor,c0_stroma,c0_immune_cells,c0_necrosis,c0_other,c0_ignore,c1_tumor,c1_stroma,c1_immune_cells,c1_necrosis,c1_other,c1_ignore,c2_tumor,c2_stroma,c2_immune_cells,c2_necrosis,c2_other,c2_ignore,c3_tumor,c3_stroma,c3_immune_cells,c3_necrosis,c3_other,c3_ignore,c4_tumor,c4_stroma,c4_immune_cells,c4_necrosis,c4_other,c4_ignore,c5_tumor,c5_stroma,c5_immune_cells,c5_necrosis,c5_other,c5_ignore,c6_tumor,c6_stroma,c6_immune_cells,c6_necrosis,c6_other,c6_ignore,c7_tumor,c7_stroma,c7_immune_cells,c7_necrosis,c7_other,c7_ignore,c8_tumor,c8_stroma,c8_immune_cells,c8_necrosis,c8_other,c8_ignore,contrast_lr_tumor,contrast_tb_tumor,contrast_strip_lr_tumor,contrast_strip_tb_tumor,contrast_lr_stroma,contrast_tb_stroma,contrast_strip_lr_stroma,contrast_strip_tb_stroma,contrast_lr_immune_cells,contrast_tb_immune_cells,contrast_strip_lr_immune_cells,contrast_strip_tb_immune_cells,contrast_lr_necrosis,contrast_tb_necrosis,contrast_strip_lr_necrosis,contrast_strip_tb_necrosis,contrast_lr_other,contrast_tb_other,contrast_strip_lr_other,contrast_strip_tb_other,contrast_lr_ignore,contrast_tb_ignore,contrast_strip_lr_ignore,contrast_strip_tb_ignore,cellspread_tumor_maxmin,cellspread_tumor_std,cellspread_tumor_iqr,cellspread_ignore_maxmin,cellspread_ignore_std,cellspread_ignore_iqr,cellspread_necrosis_maxmin,cellspread_necrosis_std,cellspread_necrosis_iqr
JN_TS_001_bg_tile_12883_7423,bg,JN_TS_001_tile_12883_7423,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_12883_7423_cl.png,7921,7921,3,3,0,0.0143625172,0.0740705349,0.0105490989,0.1334920225,0.1877555383,0.5797702881,0.0110693264,0.0607546499,0.0091084071,0.1097882460,0.1948307861,0.6144485847,0.0138639233,0.0672034263,0.0099301251,0.1389556072,0.1709105257,0.5991363923,0.0178033172,0.0819924443,0.0105953037,0.1415806111,0.2465808693,0.5014474545,0.0123435798,0.0661026331,0.0086781409,0.1125726733,0.2054971260,0.5948058469,0.0158891547,0.0781315617,0.0119067904,0.1681628860,0.2124305819,0.5134790254,0.0142573462,0.0716181703,0.0100312787,0.1074542298,0.1886118285,0.6080271465,0.0159108120,0.0725359425,0.0121993793,0.1113550308,0.2006269147,0.5873719206,0.0166633666,0.0810177055,0.0114385331,0.1660894456,0.1941785755,0.5306123737,0.0000022453,0.0025119193,0.0000022453,0.0025119193,0.0004428187,0.0077144024,0.0004428187,0.0077144024,0.0006999224,0.0013605200,0.0006999224,0.0013605200,0.0302270251,0.0008876102,0.0302270251,0.0008876102,0.0151428510,0.0099734895,0.0151428510,0.0099734895,0.0153390325,0.0224479414,0.0153390325,0.0224479414,0.0067339908,0.0021244656,0.0020468887,0.1130011302,0.0429077631,0.0685240186,0.0607086562,0.0237473633,0.0302255803
JN_TS_001_bg_tile_19702_7361,bg,JN_TS_001_tile_19702_7361,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_19702_7361_cl.png,7921,7921,3,3,0,0.0151749024,0.0787345041,0.0123681416,0.2326760503,0.1786146981,0.4824317034,0.0133041892,0.0726344762,0.0119882563,0.2104276388,0.1750982468,0.5165471929,0.0083100895,0.0382059229,0.0086439681,0.1129686065,0.1088567493,0.7230146637,0.0172872707,0.0803682891,0.0136181485,0.2261862759,0.1815158400,0.4810241759,0.0148590349,0.0832581947,0.0101841164,0.2404658947,0.1888234366,0.4624093228,0.0149330775,0.0744823758,0.0107735821,0.2354431288,0.1748052276,0.4895626083,0.0069870581,0.0298496327,0.0069662534,0.0958125287,0.1102147899,0.7501697371,0.0172420915,0.0869783599,0.0131140064,0.2432627104,0.2039368983,0.4354659335,0.0152779213,0.0786365071,0.0136814164,0.2109606003,0.1941015266,0.4873420282,0.0003093810,0.0009059632,0.0003093810,0.0009059632,0.0007907933,0.0019631989,0.0007907933,0.0019631989,0.0000488077,0.0002537701,0.0000488077,0.0002537701,0.0015658269,0.0020121520,0.0015658269,0.0020121520,0.0024727252,0.0152278402,0.0024727252,0.0152278402,0.0045687721,0.0163386204,0.0045687721,0.0163386204,0.0103002126,0.0036608519,0.0019737321,0.3147038037,0.1157359295,0.0355230170,0.1474501817,0.0560911057,0.0250154900
JN_TS_002_bg_tile_20363_2323,bg,JN_TS_002_tile_20363_2323,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_20363_2323_cl.png,7921,7921,3,3,0,0.0227470730,0.1104859676,0.0172199265,0.3828819444,0.1777084768,0.2889566116,0.0244548380,0.1069897192,0.0193211938,0.3175424254,0.1671946175,0.3644972061,0.0262964876,0.1141137225,0.0207199839,0.2088481405,0.1944923669,0.4355292987,0.0252564456,0.1201979565,0.0171649283,0.2663623168,0.1559822955,0.4150360573,0.0228105684,0.0869578994,0.0173729129,0.3101521015,0.1550641509,0.4076423669,0.0223566601,0.0916589217,0.0180530217,0.2126636490,0.1520400904,0.5032276571,0.0239729683,0.0759941747,0.0164705292,0.2056439394,0.1541299357,0.5237884527,0.0259632485,0.1046742510,0.0204869597,0.1999394743,0.1602558145,0.4886802520,0.0216343836,0.1085485537,0.0181369089,0.2236575987,0.1682823978,0.4597401573,0.0005629852,0.0006425994,0.0005629852,0.0006425994,0.0025476997,0.0141241433,0.0025476997,0.0141241433,0.0020181768,0.0007222355,0.0020181768,0.0007222355,0.0699062708,0.0933438327,0.0699062708,0.0933438327,0.0089980490,0.0189091044,0.0089980490,0.0189091044,0.0569053305,0.1277419152,0.0569053305,0.1277419152,0.0046621040,0.0016646000,0.0025093726,0.2348318411,0.0736479292,0.0810378850,0.1829424702,0.0648939938,0.1013039610
JN_TS_002_bg_tile_22849_5404,bg,JN_TS_002_tile_22849_5404,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_002/JN_TS_002_tile_22849_5404_cl.png,7921,7921,3,3,0,0.0212741047,0.0772965450,0.0217955119,0.1747522096,0.1542877640,0.5505938648,0.0215765665,0.0756472812,0.0223222379,0.1662039746,0.1750418804,0.5392080594,0.0178265611,0.0628740530,0.0221836260,0.1199733127,0.1534960399,0.6236464073,0.0173138045,0.0548274299,0.0221654734,0.1137003316,0.1418588574,0.6501341032,0.0149079246,0.0508440216,0.0234065642,0.0879653717,0.1254278030,0.6974483149,0.0148889023,0.0522982571,0.0246503276,0.0962953083,0.1477294241,0.6641377807,0.0187847222,0.0573954029,0.0217013889,0.1342447199,0.1309960399,0.6368777261,0.0202369683,0.0704031990,0.0265228965,0.1193642215,0.1617779939,0.6016947208,0.0171097337,0.0669157484,0.0252891127,0.1189022326,0.1797410181,0.5920421545,0.0025158114,0.0015152693,0.0025158114,0.0015152693,0.0024771064,0.0070345097,0.0024771064,0.0070345097,0.0021535640,0.0024040074,0.0021535640,0.0024040074,0.0291754692,0.0294727743,0.0291754692,0.0294727743,0.0179412736,0.0034368775,0.0179412736,0.0034368775,0.0140735494,0.0390554233,0.0140735494,0.0390554233,0.0066876642,0.0024813174,0.0031272346,0.1582402555,0.0518998014,0.0580919487,0.0867868379,0.0288777144,0.0205443883
JN_TS_003_bg_tile_24445_5502,bg,JN_TS_003_tile_24445_5502,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_003/JN_TS_003_tile_24445_5502_cl.png,7921,7921,3,3,0,0.0070467459,0.0436672119,0.0054278581,0.0617448634,0.1270509068,0.7550624139,0.0070654481,0.0507552809,0.0065393618,0.0535822060,0.1562387411,0.7258189621,0.0072484791,0.0486548726,0.0079420627,0.0655904213,0.1652772039,0.7052869605,0.0044727376,0.0225522931,0.0044278453,0.0330097644,0.0790164997,0.8565208599,0.0044522623,0.0300734880,0.0053169366,0.0481461978,0.1132967000,0.7987144153,0.0029673390,0.0196740215,0.0044976937,0.0244555552,0.0793577100,0.8690476805,0.0049806302,0.0266379706,0.0051110537,0.0482148186,0.1276437672,0.7874117596,0.0028604867,0.0165988262,0.0033647723,0.0254319989,0.0729996386,0.8787442773,0.0032085055,0.0226221017,0.0039769858,0.0314700987,0.0861422463,0.8525800620,0.0010252633,0.0034370169,0.0010252633,0.0034370169,0.0006354933,0.0257394890,0.0006354933,0.0257394890,0.0004833283,0.0024854903,0.0004833283,0.0024854903,0.0071511238,0.0252668581,0.0071511238,0.0252668581,0.0009780045,0.0539270665,0.0009780045,0.0539270665,0.0093065565,0.1108559208,0.0093065565,0.1108559208,0.0043879924,0.0018011783,0.0038382404,0.1734573168,0.0646971284,0.1014584460,0.0411348661,0.0154524838,0.0221121073
JN_TS_003_bg_tile_25058_13037,bg,JN_TS_003_tile_25058_13037,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_003/JN_TS_003_tile_25058_13037_cl.png,7921,7921,3,3,0,0.0056050562,0.0340985135,0.0041592057,0.0593122991,0.2159839876,0.6808409378,0.0096501268,0.0958088075,0.0050721146,0.0655439285,0.2133631372,0.6105618854,0.0205195420,0.1103904098,0.0170880682,0.1543506084,0.1610771063,0.5365742654,0.0121691164,0.1317919349,0.0061427891,0.1065187085,0.3246864709,0.4186909802,0.0116176892,0.1745364545,0.0048504053,0.1909394583,0.4456887508,0.1723672418,0.0203106892,0.0892520912,0.0178750301,0.1598420307,0.1503994412,0.5623207176,0.0112830005,0.1107769456,0.0055812385,0.0760680670,0.2040627870,0.5922279614,0.0120553796,0.1525592923,0.0045106020,0.3316816403,0.2155825101,0.2836105757,0.0105176768,0.0668101469,0.0078554006,0.0676084711,0.0963675103,0.7508407943,0.0074302450,0.0006395561,0.0074302450,0.0006395561,0.0034049154,0.0299495513,0.0034049154,0.0299495513,0.0089784219,0.0027907158,0.0089784219,0.0027907158,0.0466340118,0.0653837808,0.0466340118,0.0653837808,0.1122963959,0.0248038079,0.1122963959,0.0248038079,0.0526586326,0.0670992524,0.0526586326,0.0670992524,0.0149144858,0.0048387841,0.0016514396,0.5784735525,0.1874359691,0.1918709052,0.2723693412,0.0881631443,0.0922335596
JN_TS_004_bg_tile_26418_6375,bg,JN_TS_004_tile_26418_6375,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_004/JN_TS_004_tile_26418_6375_cl.png,7921,7921,3,3,0,0.0171731520,0.1200822142,0.0092188935,0.2240823003,0.3816342401,0.2478092000,0.0049318440,0.0694846993,0.0032564857,0.1204492387,0.5186698966,0.2832078356,0.0114999426,0.0796014118,0.0054093492,0.2132938763,0.4414132805,0.2487821396,0.0090293794,0.1232593829,0.0043878294,0.1569634723,0.3649089819,0.3414509541,0.0083354827,0.1285471394,0.0038277356,0.1455974661,0.4288768511,0.2848153252,0.0111232545,0.0824802359,0.0055317947,0.1505952176,0.3810738012,0.3691956961,0.0171170512,0.0867580636,0.0095926596,0.1446443124,0.1983750861,0.5435128271,0.0134803162,0.1087611729,0.0066457839,0.1304978027,0.3022700022,0.4383449221,0.0122012741,0.1333681990,0.0054173841,0.1420808942,0.3973012798,0.3096309688,0.0028317038,0.0030645676,0.0028317038,0.0030645676,0.0115499380,0.0199063701,0.0115499380,0.0199063701,0.0022802849,0.0012570330,0.0022802849,0.0012570330,0.0065733657,0.0468674686,0.0065733657,0.0468674686,0.0916233512,0.1479236831,0.0916233512,0.1479236831,0.0683880589,0.1705631810,0.0683880589,0.1705631810,0.0122413080,0.0039895943,0.0044509369,0.2957036272,0.0974368027,0.0859878604,0.1036330616,0.0357560425,0.0148825781
JN_TS_005_bg_tile_22229_14087,bg,JN_TS_005_tile_22229_14087,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_005/JN_TS_005_tile_22229_14087_cl.png,7921,7921,3,3,0,0.0135522842,0.1365614956,0.0007122360,0.2495240760,0.3876672980,0.2119826102,0.0142033263,0.1465685346,0.0006150104,0.2864177079,0.3512693195,0.2009261012,0.0185674931,0.1903015955,0.0005518251,0.2830347509,0.3557516931,0.1517926423,0.0193541817,0.1422006414,0.0010952004,0.2840891880,0.3143949434,0.2388658451,0.0182206693,0.1479076130,0.0009096929,0.2437714708,0.2739830257,0.3152075283,0.0165933760,0.1815217204,0.0007261655,0.2277296823,0.3690189953,0.2044100605,0.0220684114,0.1315230429,0.0011883035,0.2509905877,0.3389398244,0.2552898301,0.0162756876,0.1300339633,0.0008261334,0.2320340378,0.2978213601,0.3230088178,0.0235402319,0.1493445822,0.0014035239,0.2171794651,0.3203985882,0.2881336088,0.0012420746,0.0051870757,0.0012420746,0.0051870757,0.0369609060,0.0208433458,0.0369609060,0.0208433458,0.0001047418,0.0005129631,0.0001047418,0.0005129631,0.0188866511,0.0395908147,0.0188866511,0.0395908147,0.0013890703,0.0458428459,0.0013890703,0.0458428459,0.0206006579,0.1005769677,0.0206006579,0.1005769677,0.0099879477,0.0033276073,0.0030784941,0.1712161755,0.0574020991,0.0837235483,0.0692382428,0.0260944721,0.0510007131
JN_TS_006_bg_tile_3175_8574,bg,JN_TS_006_tile_3175_8574,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_006/JN_TS_006_tile_3175_8574_cl.png,7921,7921,3,3,0,0.0151361628,0.1660040748,0.0132195535,0.0191775712,0.1519717057,0.6344909320,0.0167730887,0.1812248287,0.0123862632,0.0333767914,0.1779719287,0.5782670992,0.0131838269,0.1233142505,0.0106955923,0.0286464073,0.1481194043,0.6760405188,0.0151764713,0.2097377600,0.0130292417,0.0159872580,0.1654405184,0.5806287506,0.0182685554,0.1638872405,0.0162913174,0.0218656060,0.1620705787,0.6176167020,0.0167489931,0.1446667068,0.0127294815,0.0317750106,0.1598504928,0.6342293151,0.0163992195,0.1998583850,0.0147559401,0.0179582759,0.1656532656,0.5853749139,0.0158990511,0.1291848818,0.0153144470,0.0242936273,0.1616371496,0.6536708432,0.0175434745,0.1643220558,0.0160030705,0.0356334653,0.1654123623,0.6010855716,0.0002548137,0.0015828889,0.0002548137,0.0015828889,0.0477657356,0.0076073895,0.0477657356,0.0076073895,0.0005255303,0.0032573495,0.0005255303,0.0032573495,0.0143105927,0.0011051337,0.0143105927,0.0011051337,0.0032277435,0.0048799129,0.0032277435,0.0048799129,0.0369536030,0.0162224071,0.0369536030,0.0162224071,0.0050847285,0.0015029362,0.0015966174,0.0977734196,0.0344644160,0.0491160181,0.0196462073,0.0072106265,0.0125974394
JN_TS_006_bg_tile_9641_4431,bg,JN_TS_006_tile_9641_4431,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_006/JN_TS_006_tile_9641_4431_cl.png,7921,7921,3,3,0,0.0346097337,0.1352287075,0.0220202020,0.1016712580,0.1744824667,0.5319876320,0.0247266302,0.1348126284,0.0184696740,0.0871843195,0.2321134958,0.5026932521,0.0348215106,0.1234367826,0.0253535354,0.1160410927,0.2285435319,0.4718035468,0.0269798515,0.0840605028,0.0205193740,0.1116325600,0.1494489576,0.6073587541,0.0174395807,0.0881534753,0.0145258392,0.0638714840,0.2053609230,0.6106486978,0.0257941494,0.0705493500,0.0245791883,0.0571014480,0.1285083417,0.6934675226,0.0296227904,0.0910288969,0.0225781967,0.0903795053,0.1530855429,0.6133050677,0.0214959611,0.0658581747,0.0200830723,0.0468129324,0.1297567209,0.7159931385,0.0163083965,0.0475426136,0.0202287075,0.0448527893,0.1079460801,0.7631214130,0.0047627731,0.0089102421,0.0047627731,0.0089102421,0.0229297870,0.0630161444,0.0229297870,0.0630161444,0.0016812195,0.0009844783,0.0016812195,0.0009844783,0.0285626644,0.0409504811,0.0285626644,0.0409504811,0.0040063378,0.0814503835,0.0040063378,0.0814503835,0.0585803429,0.1953117294,0.0585803429,0.1953117294,0.0185131141,0.0066581810,0.0081268293,0.2913178662,0.0989435715,0.1614798906,0.0711883035,0.0274993842,0.0445698100
