group,tile_id,cl_png,total_pixels,palette_pixels,unknown_pixels,entropy_nats_palette,count_tumor,frac_of_all_tumor,frac_of_palette_tumor,count_stroma,frac_of_all_stroma,frac_of_palette_stroma,count_immune_cells,frac_of_all_immune_cells,frac_of_palette_immune_cells,count_necrosis,frac_of_all_necrosis,frac_of_palette_necrosis,count_other,frac_of_all_other,frac_of_palette_other,count_ignore,frac_of_all_ignore,frac_of_palette_ignore
bg,JN_TS_001_bg_tile_19702_7361,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_001/JN_TS_001_tile_19702_7361_cl.png,62742241,62742241,0,1.250781755314866,860123,0.013708834531428356,0.013708834531428356,4344364,0.06924145409469834,0.06924145409469834,706469,0.011259862394778025,0.011259862394778025,12606141,0.20091952086952075,0.20091952086952075,10568625,0.1684451309286195,0.1684451309286195,33656519,0.536425197180955,0.536425197180955
bg,JN_TS_013_bg_tile_6022_13386,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_013/JN_TS_013_tile_6022_13386_cl.png,62742241,62742241,0,0.849083508391347,234124,0.0037315211613177797,0.0037315211613177797,4920022,0.07841642124322591,0.07841642124322591,137165,0.0021861667325526355,0.0021861667325526355,2110157,0.03363215859631154,0.03363215859631154,8953005,0.14269501467121648,0.14269501467121648,46387768,0.7393387175953756,0.7393387175953756
bg,JN_TS_013_bg_tile_10309_3904,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_013/JN_TS_013_tile_10309_3904_cl.png,62742241,62742241,0,1.5701681587848768,4066463,0.0648122052255035,0.0648122052255035,8832339,0.14077181272501885,0.14077181272501885,2004279,0.031944651132241195,0.031944651132241195,22799233,0.36337932207426255,0.36337932207426255,10694712,0.17045473399651123,0.17045473399651123,14345215,0.22863727484646268,0.22863727484646268
bg,JN_TS_012_bg_tile_4874_6291,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_012/JN_TS_012_tile_4874_6291_cl.png,62742241,62742241,0,1.5269039394792738,3571808,0.05692828217595862,0.05692828217595862,12093335,0.1927463030847113,0.1927463030847113,2155955,0.034362097458393304,0.034362097458393304,6614886,0.10542954626054878,0.10542954626054878,13098152,0.2087613032502298,0.2087613032502298,25208105,0.40177246777015824,0.40177246777015824
bg,JN_TS_011_bg_tile_4034_8877,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_011/JN_TS_011_tile_4034_8877_cl.png,62742241,62742241,0,1.1470609193703598,841723,0.013415571177956491,0.013415571177956491,10717907,0.17082442114236882,0.17082442114236882,510644,0.008138759340776496,0.008138759340776496,1373211,0.02188654689589427,0.02188654689589427,14434319,0.23005743451210167,0.23005743451210167,34864437,0.5556772669309022,0.5556772669309022
bg,JN_TS_011_bg_tile_22539_15864,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_011/JN_TS_011_tile_22539_15864_cl.png,62742241,62742241,0,1.314701292606701,1195900,0.01906052415309807,0.01906052415309807,14597956,0.23266551795623622,0.23266551795623622,870390,0.013872472295020512,0.013872472295020512,2001930,0.03190721223999634,0.03190721223999634,19601994,0.3124210051725758,0.3124210051725758,24474071,0.39007326818307303,0.39007326818307303
bg,JN_TS_010_bg_tile_2931_6096,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_010/JN_TS_010_tile_2931_6096_cl.png,62742241,62742241,0,1.223348125420149,1309300,0.020867918951125764,0.020867918951125764,8776984,0.13988955223961477,0.13988955223961477,1520907,0.02424055908363235,0.02424055908363235,2192415,0.0349432051685881,0.0349432051685881,13958976,0.22248131047789638,0.22248131047789638,34983659,0.5575774540791426,0.5575774540791426
bg,JN_TS_010_bg_tile_3215_9086,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_010/JN_TS_010_tile_3215_9086_cl.png,62742241,62742241,0,1.2048665388349291,1148164,0.018299697009547363,0.018299697009547363,8919199,0.14215620701211484,0.14215620701211484,1382334,0.022031951329248824,0.022031951329248824,1748153,0.027862457128364288,0.027862457128364288,14986642,0.23886048316316913,0.23886048316316913,34557749,0.5507892043575555,0.5507892043575555
bg,JN_TS_006_bg_tile_3175_8574,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_006/JN_TS_006_tile_3175_8574_cl.png,62742241,62742241,0,1.1084576190497017,1011757,0.01612561145209971,0.01612561145209971,10332963,0.16468909677612567,0.16468909677612567,867419,0.013825119826370243,0.013825119826370243,1594439,0.025412528698170025,0.025412528698170025,10165176,0.16201486969520262,0.16201486969520262,38770487,0.6179327735520317,0.6179327735520317
bg,JN_TS_006_bg_tile_9641_4431,/mnt/c/Apps/QuPath-v0.6.0-Windows/projects/JN_HandE_QuPath/tiles_manual/JN_TS_006/JN_TS_006_tile_9641_4431_cl.png,62742241,62742241,0,1.1983960341556392,1615897,0.02575453114593086,0.02575453114593086,5860545,0.09340668912352047,0.09340668912352047,1313076,0.020928101691490425,0.020928101691490425,5016094,0.07994763846576662,0.07994763846576662,10521615,0.16769587493695037,0.16769587493695037,38415014,0.6122671646363412,0.6122671646363412
